Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Kalkinma_Endeksi
Iceland,2006,100.0,100.0,113.13749816041205,94224000.0,64.02,0.01,0.0,9.85,99.89859,129510.24,10.67,2329.999924,70.91828,6.316993086,57492.93425,3.0,103000.0,64.963051,-19.020835,0.398289923730165
Iceland,2007,100.0,100.0,113.13749816041205,94224000.0,67.52,0.0,0.0,11.89,100.0,144361.56,11.69,2380.000114,74.30169,8.454860096,69495.72674,3.0,103000.0,64.963051,-19.020835,0.4193000743759494
Iceland,2008,100.0,100.0,113.13749816041205,94224000.0,74.0,0.0,0.0,16.34,100.0,177673.47,12.92,2180.000067,81.15162,2.209496419,56943.37045,3.0,103000.0,64.963051,-19.020835,0.43296840553276955
Iceland,2009,100.0,100.0,113.13749816041205,94224000.0,74.69,0.0,0.0,16.71,100.0,176767.39,14.52,2109.999895,82.5026,-7.66380956,41301.27322,3.0,103000.0,64.963051,-19.020835,0.4244054646109899
Iceland,2010,100.0,100.0,113.13749816041205,94224000.0,75.96,0.0,0.0,16.74,100.0,177121.83,15.02,1960.000038,83.07628,-2.832774915,43237.07295,3.0,103000.0,64.963051,-19.020835,0.43043265051130625
Iceland,2011,100.0,100.0,113.13749816041205,94224000.0,77.19,0.0,0.0,16.85,100.0,176561.36,15.78,1889.999986,83.27399,1.845779156,47714.59223,3.0,103000.0,64.963051,-19.020835,0.4379673252068408
Iceland,2012,100.0,100.0,113.13749816041205,94224000.0,77.82,0.0,0.0,17.29,100.0,177259.34,15.24,1860.000014,83.54047,1.063636607,45995.54788,3.0,103000.0,64.963051,-19.020835,0.4362516367419722
Iceland,2013,100.0,100.0,113.13749816041205,94224000.0,76.73,0.0,0.0,17.99,100.0,181204.22,15.2,2029.999971,83.09186,4.55246032,49804.983,3.0,103000.0,64.963051,-19.020835,0.43989149996156635
Iceland,2014,100.0,100.0,113.13749816041205,94224000.0,76.99,0.0,0.0,17.8,100.0,178940.12,14.89,2049.999952,82.747856,1.687215018,54576.74481,3.0,103000.0,64.963051,-19.020835,0.44017508563690694
Iceland,2015,100.0,100.0,113.13749816041205,94224000.0,77.33,0.0,0.0,18.55,100.0,184878.39,13.58,2059.999943,81.80247,4.436663719,52951.68151,3.0,103000.0,64.963051,-19.020835,0.4384005034052966
Iceland,2016,100.0,100.0,113.13749816041205,94224000.0,80.25,0.0,0.0,18.17,100.0,183038.08,12.07,1629.999995,79.91398,6.303687107,61987.92636,3.0,103000.0,64.963051,-19.020835,0.4413406018365341
Iceland,2017,100.0,100.0,113.13749816041205,94224000.0,80.08,0.0,0.0,18.84,100.0,186955.55,12.18,1669.999957,78.81927,4.194948829,72010.14903,3.0,103000.0,64.963051,-19.020835,0.44703843938506294
Iceland,2018,100.0,100.0,113.13749816041205,94224000.0,80.71,0.0,0.0,19.43,100.0,188294.0,12.78,1700.000048,77.96496,4.892180731,74469.80406,3.0,103000.0,64.963051,-19.020835,0.4504440078895629
Iceland,2019,100.0,100.0,113.13749816041205,94224000.0,81.07,0.0,0.0,19.12,100.0,175527.73,12.27,1639.999986,80.09719,2.434823,68941.46223,3.0,103000.0,64.963051,-19.020835,0.44319472861240655
Iceland,2020,100.0,100.0,113.13749816041205,94224000.0,32.63816497829233,0.0,0.0,18.78,100.0,155754.6,5.3073450588901805,159866.46268574602,86.836586,-6.50391225,59270.18005,3.0,103000.0,64.963051,-19.020835,0.37946468669726385
Malawi,2000,4.8,2.1,26.9,6840000.0,82.62,0.15,0.0,1.09,87.90323,606.25275,5.29,710.0,11.986706828095237,1.576077837,156.3858168,203.0,118484.0,-13.254308,34.301525,0.12080995559204687
Malawi,2001,5.13952,2.1,26.24,94224000.0,83.13,0.15,0.0,1.11,88.09524,581.4494,5.51,680.0,11.986706828095237,-4.974963848,150.1489426,203.0,118484.0,-13.254308,34.301525,0.11925625988836946
Malawi,2002,5.5341597,2.1,25.6,94224000.0,83.3,0.16,0.0,1.17,87.96992,560.5774,5.66,680.0000072,11.986706828095237,1.700000014,298.4334104,203.0,118484.0,-13.254308,34.301525,0.12290002312377218
Malawi,2003,6.2,2.1,24.94,510000.0,82.83,0.12,0.0,1.23,91.11111,574.14386,5.43,750.0,11.986706828095237,5.705639438,267.3990119,203.0,118484.0,-13.254308,34.301525,0.12413087725732642
