Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Karbon_Yogunlugu,Yenilenebilir_Enerji_Kullanimi,Enerji_Verimliligi,Nufusun_Elektrik_Erisimi,Elektrik_Erisim_Yillik_Degisim,CO2_Yillik_Degisim
Australia,2019,100.0,100.0,113.13749816041205,94224000.0,10.13,196.45,0.0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3.0,7741220.0,-25.274398,133.775136,5.83322289753913,0.05156528378719697,15410.125581036973,300.0,0.0,-0.001395118427715003
Australia,2020,100.0,100.0,113.13749816041205,94224000.0,32.63816497829233,186.92,0.0,63.99,25.503168,61826.21,5.3073450588901805,159866.46268574602,10.789811,-0.003836559,51692.84275,3.0,7741220.0,-25.274398,133.775136,2.5857393277987772,0.17461034120626404,11649.178508804845,300.0,0.0,-0.5864060663284641
Brazil,2000,94.391716,89.0,364.68,126500000.0,42.66,28.87,4.94,308.77,91.57278,13400.32,3.88,313670.0,43.288433,4.387949444,3749.910848,25.0,8515770.0,-14.235004,-51.92528,23.407649966567963,1.4776584689938426,3453.690721560472,2359.7929,0.0,0.0
Brazil,2001,96.016525,89.7,367.36,5290000.0,41.33,35.19,14.27,273.71,89.111,12893.828,3.9,319380.0,39.11162,1.389896404,3160.249345,25.0,8515770.0,-14.235004,-51.92528,24.76999072734645,1.174481386754264,3306.1097435049714,2400.413125,0.01721347030072007,0.018203844805049885
Brazil,2002,96.65299,90.1,374.1,33350000.0,42.85,33.5,13.84,292.95,90.15546,13021.791,3.89,317760.0098,40.756653,3.053461857,2839.491501,25.0,8515770.0,-14.235004,-51.92528,24.40217400202476,1.279104477608122,3347.5041130244854,2416.32475,0.006628702715496093,-0.005072296950341282
Brazil,2003,96.980095,90.6,387.32,7530000.0,45.11,31.62,13.4,313.88,91.18975,13111.923,3.91,310809.9976,42.284126,1.140828999,3070.436419,25.0,8515770.0,-14.235004,-51.92528,23.704379411013928,1.4266287159980182,3353.4329922416,2424.502375,0.0033843236510324726,-0.021871890690003393
Brazil,2004,96.76511,91.1,392.57,1140000.0,45.18,40.14,11.6,329.43,89.46926,13593.7,3.9,328519.989,42.286156,5.759964637,3637.31389,25.0,8515770.0,-14.235004,-51.92528,24.167076586948365,1.1255605381137879,3485.564102474729,2419.12775,-0.0022167951062534996,0.05698012141421538
Brazil,2005,97.09351,91.6,399.88,11720000.0,46.13,39.56,9.2,346.96,90.00303,13792.465,3.88,331690.0024,43.1457,3.202132062,4790.456566,25.0,8515770.0,-14.235004,-51.92528,24.048638325346484,1.1660768452953334,3554.7590205269394,2427.3377499999997,0.0033937852186598505,0.0096493775299622
Brazil,2006,97.594315,92.1,412.49,1220000.0,46.67,39.4,12.98,359.55,90.43527,14020.683,3.86,335619.9951,43.045963,3.961988709,5886.391522,25.0,8515770.0,-14.235004,-51.92528,23.93749256723085,1.1845177664944555,3632.301295242687,2439.8578749999997,0.005157965758988414,0.011848390580252222
Brazil,2007,98.12538,92.6,427.18,910000.0,47.19,37.64,11.65,387.88,91.390076,14770.351,3.84,352559.9976,44.380226,6.069870607,7348.187963,25.0,8515770.0,-14.235004,-51.92528,23.869439365388136,1.253719447393056,3846.445572816499,2453.1345,0.005441556713626339,0.05047375826029854
