Ulke,SDG_Endeks,H1_Yoksulluk,H2_Aclik,H3_Saglik,H4_Egitim,H5_Esitsizlik,H6_Su,H7_Enerji,H8_Is,H9_Altyapi,H10_Esitlik,H11_Sehir,H12_Uretim,H13_Iklim,H14_SuHayati,H15_KaraHayati,H16_Adalet,H17_Ortaklik
Luxembourg,74.9391304347826,99.95217391304348,59.02173913043478,92.95217391304348,96.10000000000001,68.70869565217392,81.62608695652173,56.10434782608696,85.41739130434782,80.78260869565217,86.37391304347825,96.71739130434783,36.21304347826087,37.665217391304346,0.0,65.34347826086956,89.8695652173913,66.55652173913043
Mexico,65.9391304347826,85.67391304347827,60.821739130434786,78.23478260869565,94.2695652173913,67.11304347826086,70.90869565217392,66.66956521739131,68.70434782608696,37.221739130434784,23.308695652173913,78.1,80.04347826086956,84.18695652173913,61.18260869565218,54.334782608695654,53.99565217391305,56.20434782608696
Netherlands,77.40434782608695,99.39565217391304,68.9,93.91304347826087,96.73478260869565,80.8391304347826,86.8695652173913,68.89565217391304,85.68695652173913,85.51304347826087,91.69565217391305,90.24347826086957,47.0304347826087,39.44347826086957,56.27826086956522,76.2304347826087,85.3913043478261,62.72173913043478
New Zealand,75.4086956521739,0.0,61.5,90.51304347826088,94.36521739130436,81.38260869565217,89.6,84.58695652173913,86.8,80.08695652173913,77.19130434782609,86.9,43.71304347826087,62.76086956521739,55.834782608695654,51.160869565217396,89.1391304347826,70.32173913043479
Norway,80.65652173913043,99.26086956521739,62.78260869565217,94.41739130434782,98.51304347826088,86.36086956521739,83.7,98.54782608695652,85.6608695652174,85.9304347826087,97.45217391304348,89.45217391304348,39.43913043478261,18.47391304347826,74.85217391304347,72.33478260869565,91.14347826086957,92.66956521739131
Poland,77.21304347826087,98.71739130434783,66.70869565217392,81.57391304347826,94.8695652173913,67.47391304347826,81.49130434782609,69.51304347826087,80.7,56.57826086956521,85.01304347826087,84.19130434782608,75.04347826086956,76.26086956521739,67.20434782608696,88.55652173913043,79.65652173913043,59.19130434782609
Portugal,75.68695652173913,99.87391304347825,62.33043478260869,87.52608695652174,97.80869565217391,74.58260869565217,78.9,81.11739130434783,79.07826086956521,57.78260869565217,72.0695652173913,88.74347826086957,66.35217391304347,82.35217391304347,45.960869565217386,70.95217391304348,78.92173913043479,62.41304347826087
Slovak Republic,76.34782608695652,99.01304347826088,71.35652173913044,83.76086956521739,81.3391304347826,67.63913043478261,81.67391304347827,73.28260869565217,75.88695652173914,53.891304347826086,99.33043478260869,82.00869565217391,67.23478260869565,69.78260869565217,0.0,85.62608695652175,76.24347826086957,54.21739130434783
Slovenia,78.08695652173913,99.3,65.19130434782609,88.66521739130435,95.72173913043478,70.90869565217392,87.8,78.9608695652174,83.6086956521739,61.369565217391305,100.0,82.78260869565217,54.334782608695654,67.14782608695653,67.33478260869565,79.07826086956521,83.41304347826087,61.869565217391305
Spain,76.91739130434782,98.84347826086957,63.98260869565217,92.50434782608696,97.47391304347826,77.41304347826087,86.1,75.51739130434783,77.2695652173913,75.47391304347826,79.8695652173913,90.97391304347826,63.73478260869565,77.3913043478261,52.34347826086957,64.1086956521739,78.37391304347825,56.11739130434783
Sweden,85.05652173913043,98.68695652173912,65.71739130434783,94.48260869565217,97.52608695652174,90.3913043478261,94.98260869565217,94.09565217391304,86.36521739130436,94.33043478260869,97.3,89.16521739130435,54.52608695652174,64.96521739130435,70.81739130434782,79.37391304347825,88.29565217391304,84.77826086956522
Switzerland,78.92608695652174,99.46521739130434,70.18695652173913,94.61304347826086,98.06521739130434,75.88260869565217,90.5,81.32608695652173,81.34782608695652,87.16956521739131,85.41304347826087,97.66956521739131,47.26086956521739,58.08695652173913,0.0,65.75217391304348,82.03478260869565,48.660869565217396
United Kingdom,79.15652173913043,99.6086956521739,70.07826086956521,89.80869565217391,98.71739130434783,76.05217391304348,93.95652173913044,70.99565217391304,82.76521739130435,83.70869565217392,70.8,91.19565217391305,53.59130434782608,64.29565217391304,72.61304347826086,85.7,82.54347826086956,59.32608695652174
United States,73.45217391304348,98.63478260869564,68.55652173913043,87.28695652173913,93.96521739130434,72.6,83.34782608695652,71.77391304347826,82.67826086956521,86.72173913043478,53.4,88.07391304347826,53.86521739130435,46.85217391304347,61.50869565217391,59.45217391304348,70.8,69.25652173913043
